"unique_storm_number","sub_storms","suspended_sediment_load_pounds","chloride_load_pounds","no2_no3_n_load_pounds","ammonium_n_load_pounds","tkn_unfiltered_load_pounds","orthophosphate_load_pounds","total_phosphorus_unfiltered_load_pounds","total_nitrogen_computed_load_pounds","organic_nitrogen_computed_load_pounds","sum_runoff","sample_start","sample_end","storm_start","storm_end","peak_discharge","runoff_volume","frozen"
1,"OH-FM1-2",1.9722537576,0.07200291496,0.00156528076,0.0006261123,0.03349700826,0.00563501074,0.01036215863,0.03506228902,0.03287089596,501,0012-10-02 03:57:00,0012-10-02 07:15:00,0012-10-02 03:56:00,0012-10-02 07:30:00,0.17,501,0
4,"OH-FM1-3",6.5472047982,0.15026371668,0.00536656131,0.00107331226,0.09659810358,0.01051846017,0.02425685712,0.10196466489,0.09552479132,1719,0012-10-05 20:49:00,0012-10-06 04:15:00,0012-10-05 20:45:00,0012-10-06 04:30:00,0.28,1719,0
6,"OH-FM1-4",2.4529707888,0.4599320229,0.00511035581,0.00204414232,0.11651611247,0.00909643334,0.01993038766,0.12162646828,0.11447197014,1637,0012-10-30 10:45:00,0012-10-31 06:45:00,0012-10-30 10:30:00,0012-10-31 07:00:00,0.07,1637,0
9,"OH-FM1-5",11.27519952,0.344987448,0.029450148,0.0025242984,0.151457904,0.00740460864,0.0479616696,0.180908052,0.1489336056,674,0012-12-09 23:21:00,0012-12-10 05:45:00,0012-12-09 23:20:00,0012-12-10 06:00:00,0.1,674,0
10,"OH-FM1-6",130.4666475756,0.51415427616,0.0918132636,0.01560825481,0.98240192052,0.0090895131,0.41775034938,1.07421518412,0.96679366571,1471,0012-12-20 11:12:00,0012-12-20 21:00:00,0012-12-20 11:11:00,0012-12-20 21:15:00,0.13,1471,0
11,"OH-FM1-7",1.780628225,0.4029842825,0.1030890025,0.01593193675,0.11339790275,0.01030890025,0.0318638735,0.21648690525,0.097465966,1501,0013-01-09 11:45:00,0013-01-10 01:00:00,0013-01-09 11:30:00,0013-01-10 01:15:00,0.07,1501,0
12,"OH-FM1-8",730.8903426072,0.1576553802,0.6306215208,0.06936836729,3.65760482064,0.03090045452,1.28016168722,4.28822634144,3.58823645335,10102,0013-01-10 18:30:00,0013-01-11 18:30:00,0013-01-10 18:15:00,0013-01-11 18:30:00,1.1,10102,0
13,"OH-FM1-9",3086.205174196,0.9037204024,0.1129650503,0.06777903018,10.6187147282,0.04970462213,4.41693346673,10.7316797785,10.55093569802,18095,0013-01-12 22:05:00,0013-01-13 13:45:00,0013-01-12 22:03:00,0013-01-13 14:00:00,1.27,18095,0
14,"OH-FM1-10",295.5489343848,0.12073077385,0.02414615477,0.02897538572,1.4487692862,0.02366323167,0.50706925017,1.47291544097,1.41979390048,7736,0013-01-13 16:19:00,0013-01-14 04:00:00,0013-01-13 16:15:00,0013-01-14 04:15:00,0.47,7736,0
16,"OH-FM1-11",184.461972882,0.7302746727,0.2434248909,0.01352360505,1.22523861753,0.02271965648,0.41652703554,1.46866350843,1.21171501248,4333,0013-01-30 05:59:00,0013-01-30 14:00:00,0013-01-30 05:57:00,0013-01-30 14:15:00,0.44,4333,0
